date,earned_points,possible_points
27-06-2025,39,185
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
27-06-2025,39,185
26-06-2025,0,0
25-06-2025,0,0
24-06-2025,0,0
23-06-2025,0,0
22-06-2025,0,0
21-06-2025,0,0
20-06-2025,0,0
2025-06-27,54,195
2025-06-26,0,0
2025-06-25,0,0
2025-06-24,0,0
2025-06-23,0,0
2025-06-22,0,0
2025-06-21,0,0
2025-06-20,0,0
2025-06-19,0,0
2025-06-28,13,195
2025-06-29,23,195
2025-06-30,76,187
2025-07-01,5,187
2025-07-02,46,187
2025-07-03,55,190
2025-07-04,62,190
2025-07-05,0,190
2025-07-06,23,190
2025-07-07,32,190
2025-07-08,0,190
2025-07-09,44,190
2025-06-12,0,0
2025-06-11,0,0
2025-06-10,0,0
2025-06-09,0,0
2025-06-08,0,0
2025-06-07,0,0
2025-06-06,0,0
2025-06-18,0,0
2025-07-11,43,185
2025-07-10,9,190
2025-07-12,98,147
2025-07-13,39,147
2025-07-15,19,147
2025-07-14,4,147
2025-07-16,19,147
2025-07-17,4,147
2025-07-18,14,147
2025-07-19,33,147
2025-07-21,38,147
2025-07-20,4,147
2025-07-30,29,147
2025-07-29,0,147
2025-07-28,0,147
2025-07-27,0,147
2025-07-26,0,147
2025-07-25,0,147
2025-07-24,0,147
2025-07-31,0,147
2025-08-28,0,147
2025-08-27,0,147
2025-08-26,0,147
2025-08-25,0,147
2025-08-24,0,147
2025-08-23,0,147
2025-08-22,0,147
2025-09-08,15,147
2025-09-07,0,147
2025-09-06,0,147
2025-09-05,0,147
2025-09-04,0,147
2025-09-03,0,147
2025-09-02,0,147
2025-09-11,0,147
2025-09-10,0,147
2025-09-09,0,147
2025-10-16,10,147
2025-10-15,0,147
2025-10-14,0,147
2025-10-13,0,147
2025-10-12,0,147
2025-10-11,0,147
2025-10-10,0,147
2025-10-17,10,171
2025-10-18,0,171
2025-10-19,58,171
